crop ID,soil_type,stage,MOI,temp,humidity,result
1,1,1,1,25,80,1
1,1,1,2,26,77,1
1,1,1,3,27,74,1
1,1,1,4,28,71,1
1,1,1,5,29,68,1
1,1,1,6,30,65,1
1,1,1,7,31,62,1
1,1,1,8,32,59,1
1,1,1,9,33,56,1
1,1,1,10,34,53,1
1,1,1,11,35,50,1
1,1,1,12,36,47,1
1,1,1,13,37,44,1
1,1,1,14,38,41,1
1,1,1,15,39,38,1
1,1,1,16,40,35,1
1,1,1,17,41,32,1
1,1,1,18,42,29,1
1,1,1,19,43,26,1
1,1,1,20,44,23,1
1,1,1,21,45,20,1
1,1,1,22,46,17,1
1,1,1,23,25,80,1
1,1,1,24,26,77.5,1
1,1,1,25,27,75,1
1,1,1,26,28,72.5,1
1,1,1,27,29,70,1
1,1,1,28,30,67.5,1
1,1,1,29,31,65,1
1,1,1,30,32,62.5,1
1,1,1,31,33,60,2
1,1,1,32,34,57.5,2
1,1,1,33,35,55,2
1,1,1,34,36,52.5,2
1,1,1,35,37,50,2
1,1,1,36,38,47.5,2
1,1,1,37,39,45,2
1,1,1,38,40,42.5,2
1,1,1,39,41,40,2
1,1,1,40,42,37.5,2
1,1,1,41,43,35,0
1,1,1,42,44,32.5,0
1,1,1,43,45,30,0
1,1,1,44,46,27.5,0
1,1,1,45,25,80,0
1,1,1,46,26,77.3,0
1,1,1,47,27,74.6,0
1,1,1,48,28,71.9,0
1,1,1,49,29,69.2,0
1,1,1,50,30,66.5,0
1,1,1,51,31,63.8,0
1,1,1,52,32,61.1,0
1,1,1,53,33,58.4,0
1,1,1,54,34,55.7,0
1,1,1,55,35,53,0
1,1,1,56,36,50.3,0
1,1,1,57,37,47.6,0
1,1,1,58,38,44.9,0
1,1,1,59,39,42.2,0
1,1,1,60,40,39.5,0
1,1,1,61,41,36.8,0
1,1,1,62,42,34.1,0
1,1,1,63,43,31.4,0
1,1,1,64,44,28.7,0
1,1,1,65,45,26,0
1,1,1,66,46,23.3,0
1,1,1,67,25,80,0
1,1,1,68,26,78,0
1,1,1,69,27,76,0
1,1,1,70,28,74,0
1,1,1,71,29,72,0
1,1,1,72,30,70,0
1,1,1,73,31,68,0
1,1,1,74,32,66,0
1,1,1,75,33,64,0
1,1,1,76,34,62,0
1,1,1,77,35,60,0
1,1,1,78,36,58,0
1,1,1,79,37,56,0
1,1,1,80,38,54,0
1,1,1,81,39,52,0
1,1,1,82,40,50,0
1,1,1,83,41,48,0
1,1,1,84,42,46,0
1,1,1,85,43,44,0
1,1,1,86,44,42,0
1,1,1,87,45,40,0
1,1,1,88,46,38,0
1,1,1,89,25,80,0
1,1,1,90,26,78,0
1,1,1,91,27,76,0
1,1,1,92,28,74,0
1,1,1,93,29,72,0
1,1,1,94,30,70,0
1,1,1,95,31,68,0
1,1,1,96,32,66,0
1,1,1,97,33,64,0
1,1,1,98,34,62,0
1,1,1,99,35,60,0
1,1,1,100,36,58,0
1,1,2,1,37,56,1
1,1,2,2,38,54,1
1,1,2,3,39,52,1
1,1,2,4,40,50,1
1,1,2,5,41,48,1
1,1,2,6,42,46,1
1,1,2,7,43,44,1
1,1,2,8,44,42,1
1,1,2,9,45,40,1
1,1,2,10,46,38,1
1,1,2,11,25,80,1
1,1,2,12,26,77,1
1,1,2,13,27,74,1
1,1,2,14,28,71,1
1,1,2,15,29,68,1
1,1,2,16,30,65,1
1,1,2,17,31,62,1
1,1,2,18,32,59,1
1,1,2,19,33,56,1
1,1,2,20,34,53,1
1,1,2,21,35,50,1
1,1,2,22,36,47,1
1,1,2,23,37,44,1
1,1,2,24,38,41,1
1,1,2,25,39,38,1
1,1,2,26,40,35,1
1,1,2,27,41,32,1
1,1,2,28,42,29,1
1,1,2,29,43,26,1
1,1,2,30,44,23,1
1,1,2,31,45,20,1
1,1,2,32,46,17,1
1,1,2,33,25,80,1
1,1,2,34,26,77,1
1,1,2,35,27,74,1
1,1,2,36,28,71,1
1,1,2,37,29,68,1
1,1,2,38,30,65,1
1,1,2,39,31,62,1
1,1,2,40,32,59,2
1,1,2,41,33,56,2
1,1,2,42,34,53,2
1,1,2,43,35,50,2
1,1,2,44,36,47,2
1,1,2,45,37,44,2
1,1,2,46,38,41,2
1,1,2,47,39,38,2
1,1,2,48,40,35,2
1,1,2,49,41,32,2
1,1,2,50,42,29,2
1,1,2,51,43,26,0
1,1,2,52,44,23,0
1,1,2,53,45,20,0
1,1,2,54,46,17,0
1,1,2,55,25,80,0
1,1,2,56,26,77,0
1,1,2,57,27,74,0
1,1,2,58,28,71,0
1,1,2,59,29,68,0
1,1,2,60,30,65,0
1,1,2,61,31,62,0
1,1,2,62,32,59,0
1,1,2,63,33,56,0
1,1,2,64,34,53,0
1,1,2,65,35,50,0
1,1,2,66,36,47,0
1,1,2,67,37,44,0
1,1,2,68,38,41,0
1,1,2,69,39,38,0
1,1,2,70,40,35,0
1,1,2,71,41,32,0
1,1,2,72,42,29,0
1,1,2,73,43,26,0
1,1,2,74,44,23,0
1,1,2,75,45,20,0
1,1,2,76,46,17,0
1,1,2,77,25,80,0
1,1,2,78,26,77.3,0
1,1,2,79,27,74.6,0
1,1,2,80,28,71.9,0
1,1,2,81,29,69.2,0
1,1,2,82,30,66.5,0
1,1,2,83,31,63.8,0
1,1,2,84,32,61.1,0
1,1,2,85,33,58.4,0
1,1,2,86,34,55.7,0
1,1,2,87,35,53,0
1,1,2,88,36,50.3,0
1,1,2,89,37,47.6,0
1,1,2,90,38,44.9,0
1,1,2,91,39,42.2,0
1,1,2,92,40,39.5,0
1,1,2,93,41,36.8,0
1,1,2,94,42,34.1,0
1,1,2,95,43,31.4,0
1,1,2,96,44,28.7,0
1,1,2,97,45,26,0
1,1,2,98,46,23.3,0
1,1,2,99,25,80,0
1,1,2,100,26,77,0
1,1,3,1,27,74,1
1,1,3,2,28,71,1
1,1,3,3,29,68,1
1,1,3,4,30,65,1
1,1,3,5,31,62,1
1,1,3,6,32,59,1
1,1,3,7,33,56,1
1,1,3,8,34,53,1
1,1,3,9,35,50,1
1,1,3,10,36,47,1
1,1,3,11,37,44,1
1,1,3,12,38,41,1
1,1,3,13,39,38,1
1,1,3,14,40,35,1
1,1,3,15,41,32,1
1,1,3,16,42,29,1
1,1,3,17,43,26,1
1,1,3,18,44,23,1
1,1,3,19,45,20,1
1,1,3,20,46,17,1
1,1,3,21,25,80,1
1,1,3,22,26,77.5,1
1,1,3,23,27,75,1
1,1,3,24,28,72.5,1
1,1,3,25,29,70,1
1,1,3,26,30,67.5,1
1,1,3,27,31,65,1
1,1,3,28,32,62.5,1
1,1,3,29,33,60,1
1,1,3,30,34,57.5,1
1,1,3,31,35,55,1
1,1,3,32,36,52.5,1
1,1,3,33,37,50,1
1,1,3,34,38,47.5,1
1,1,3,35,39,45,1
1,1,3,36,40,42.5,1
1,1,3,37,41,40,1
1,1,3,38,42,37.5,1
1,1,3,39,43,35,1
1,1,3,40,44,32.5,1
1,1,3,41,45,30,1
1,1,3,42,46,27.5,1
1,1,3,43,25,80,1
1,1,3,44,26,77.3,1
1,1,3,45,27,74.6,1
1,1,3,46,28,71.9,1
1,1,3,47,29,69.2,1
1,1,3,48,30,66.5,1
1,1,3,49,31,63.8,1
1,1,3,50,32,61.1,2
1,1,3,51,33,58.4,2
1,1,3,52,34,55.7,2
1,1,3,53,35,53,2
1,1,3,54,36,50.3,2
1,1,3,55,37,47.6,2
1,1,3,56,38,44.9,2
1,1,3,57,39,42.2,2
1,1,3,58,40,39.5,2
1,1,3,59,41,36.8,2
1,1,3,60,42,34.1,2
1,1,3,61,43,31.4,0
1,1,3,62,44,28.7,0
1,1,3,63,45,26,0
1,1,3,64,46,23.3,0
1,1,3,65,25,80,0
1,1,3,66,26,77,0
1,1,3,67,27,74,0
1,1,3,68,28,71,0
1,1,3,69,29,68,0
1,1,3,70,30,65,0
1,1,3,71,31,62,0
1,1,3,72,32,59,0
1,1,3,73,33,56,0
1,1,3,74,34,53,0
1,1,3,75,35,50,0
1,1,3,76,36,47,0
1,1,3,77,37,44,0
1,1,3,78,38,41,0
1,1,3,79,39,38,0
1,1,3,80,40,35,0
1,1,3,81,41,32,0
1,1,3,82,42,29,0
1,1,3,83,43,26,0
1,1,3,84,44,23,0
1,1,3,85,45,20,0
1,1,3,86,46,17,0
1,1,3,87,25,80,0
1,1,3,88,26,77,0
1,1,3,89,27,74,0
1,1,3,90,28,71,0
1,1,3,91,29,68,0
1,1,3,92,30,65,0
1,1,3,93,31,62,0
1,1,3,94,32,59,0
1,1,3,95,33,56,0
1,1,3,96,34,53,0
1,1,3,97,35,50,0
1,1,3,98,36,47,0
1,1,3,99,37,44,0
1,1,3,100,38,41,0
1,1,4,1,39,38,1
1,1,4,2,40,35,1
1,1,4,3,41,32,1
1,1,4,4,42,29,1
1,1,4,5,43,26,1
1,1,4,6,44,23,1
1,1,4,7,45,20,1
1,1,4,8,46,17,1
1,1,4,9,25,80,1
1,1,4,10,26,77,1
1,1,4,11,27,74,1
1,1,4,12,28,71,1
1,1,4,13,29,68,1
1,1,4,14,30,65,1
1,1,4,15,31,62,1
1,1,4,16,32,59,1
1,1,4,17,33,56,1
1,1,4,18,34,53,1
1,1,4,19,35,50,1
1,1,4,20,36,47,1
1,1,4,21,37,44,1
1,1,4,22,38,41,1
1,1,4,23,39,38,1
1,1,4,24,40,35,1
1,1,4,25,41,32,1
1,1,4,26,42,29,1
1,1,4,27,43,26,1
1,1,4,28,44,23,1
1,1,4,29,45,20,1
1,1,4,30,46,17,1
1,1,4,31,25,80,1
1,1,4,32,26,77,1
1,1,4,33,27,74,1
1,1,4,34,28,71,1
1,1,4,35,29,68,1
1,1,4,36,30,65,1
1,1,4,37,31,62,1
1,1,4,38,32,59,1
1,1,4,39,33,56,1
1,1,4,40,34,53,1
1,1,4,41,35,50,1
1,1,4,42,36,47,1
1,1,4,43,37,44,1
1,1,4,44,38,41,1
1,1,4,45,39,38,1
1,1,4,46,40,35,1
1,1,4,47,41,32,1
1,1,4,48,42,29,1
1,1,4,49,43,26,1
1,1,4,50,44,23,1
1,1,4,51,45,20,1
1,1,4,52,46,17,1
1,1,4,53,25,80,1
1,1,4,54,26,77,1
1,1,4,55,27,74,1
1,1,4,56,28,71,1
1,1,4,57,29,68,1
1,1,4,58,30,65,1
1,1,4,59,31,62,1
1,1,4,60,32,59,2
1,1,4,61,33,56,2
1,1,4,62,34,53,2
1,1,4,63,35,50,2
1,1,4,64,36,47,2
1,1,4,65,37,44,2
1,1,4,66,38,41,2
1,1,4,67,39,38,2
1,1,4,68,40,35,2
1,1,4,69,41,32,2
1,1,4,70,42,29,2
1,1,4,71,43,26,0
1,1,4,72,44,23,0
1,1,4,73,45,20,0
1,1,4,74,46,17,0
1,1,4,75,25,80,0
1,1,4,76,26,77,0
1,1,4,77,27,74,0
1,1,4,78,28,71,0
1,1,4,79,29,68,0
1,1,4,80,30,65,0
1,1,4,81,31,62,0
1,1,4,82,32,59,0
1,1,4,83,33,56,0
1,1,4,84,34,53,0
1,1,4,85,35,50,0
1,1,4,86,36,47,0
1,1,4,87,37,44,0
1,1,4,88,38,41,0
1,1,4,89,39,38,0
1,1,4,90,40,35,0
1,1,4,91,41,32,0
1,1,4,92,42,29,0
1,1,4,93,43,26,0
1,1,4,94,44,23,0
1,1,4,95,45,20,0
1,1,4,96,46,17,0
1,1,4,97,25,81,0
1,1,4,98,26,79,0
1,1,4,99,27,76,0
1,1,4,100,28,73,0
1,1,5,1,29,70,1
1,1,5,2,30,67,1
1,1,5,3,31,64,1
1,1,5,4,32,61,1
1,1,5,5,33,58,1
1,1,5,6,34,55,1
1,1,5,7,35,52,1
1,1,5,8,36,49,1
1,1,5,9,37,46,1
1,1,5,10,38,43,1
1,1,5,11,39,40,1
1,1,5,12,40,37,1
1,1,5,13,41,34,1
1,1,5,14,42,31,1
1,1,5,15,43,28,1
1,1,5,16,44,25,1
1,1,5,17,45,22,1
1,1,5,18,46,19,1
1,1,5,19,25,80,1
1,1,5,20,26,77,1
1,1,5,21,27,74,1
1,1,5,22,28,71,1
1,1,5,23,29,68,1
1,1,5,24,30,65,1
1,1,5,25,31,62,1
1,1,5,26,32,59,1
1,1,5,27,33,56,1
1,1,5,28,34,53,1
1,1,5,29,35,50,1
1,1,5,30,36,47,1
1,1,5,31,37,44,1
1,1,5,32,38,41,1
1,1,5,33,39,38,1
1,1,5,34,40,35,1
1,1,5,35,41,32,1
1,1,5,36,42,29,1
1,1,5,37,43,26,1
1,1,5,38,44,23,1
1,1,5,39,45,20,1
1,1,5,40,46,17,1
1,1,5,41,25,80,1
1,1,5,42,26,77,1
1,1,5,43,27,74,1
1,1,5,44,28,71,1
1,1,5,45,29,68,1
1,1,5,46,30,65,1
1,1,5,47,31,62,1
1,1,5,48,32,59,1
1,1,5,49,33,56,1
1,1,5,50,34,53,1
1,1,5,51,35,50,1
1,1,5,52,36,47,1
1,1,5,53,37,44,1
1,1,5,54,38,41,1
1,1,5,55,39,38,1
1,1,5,56,40,35,1
1,1,5,57,41,32,1
1,1,5,58,42,29,1
1,1,5,59,43,26,1
1,1,5,60,44,23,1
1,1,5,61,45,20,1
1,1,5,62,46,17,1
1,1,5,63,25,80,1
1,1,5,64,26,77,1
1,1,5,65,27,74,1
1,1,5,66,28,71,1
1,1,5,67,29,68,1
1,1,5,68,30,65,1
1,1,5,69,31,62,1
1,1,5,70,32,59,2
1,1,5,71,33,56,2
1,1,5,72,34,53,2
1,1,5,73,35,50,2
1,1,5,74,36,47,2
1,1,5,75,37,44,2
1,1,5,76,38,41,2
1,1,5,77,39,38,2
1,1,5,78,40,35,2
1,1,5,79,41,32,2
1,1,5,80,42,29,2
1,1,5,81,43,26,0
1,1,5,82,44,23,0
1,1,5,83,45,20,0
1,1,5,84,46,17,0
1,1,5,85,25,80,0
1,1,5,86,26,77,0
1,1,5,87,27,74,0
1,1,5,88,28,71,0
1,1,5,89,29,68,0
1,1,5,90,30,65,0
1,1,5,91,31,62,0
1,1,5,92,32,59,0
1,1,5,93,33,56,0
1,1,5,94,34,53,0
1,1,5,95,35,50,0
1,1,5,96,36,47,0
1,1,5,97,37,44,0
1,1,5,98,38,41,0
1,1,5,99,39,38,0
1,1,5,100,40,35,0
1,1,6,1,41,32,1
1,1,6,2,42,29,1
1,1,6,3,43,26,1
1,1,6,4,44,23,1
1,1,6,5,45,20,1
1,1,6,6,46,17,1
1,1,6,7,25,80,1
1,1,6,8,26,77,1
1,1,6,9,27,74,1
1,1,6,10,28,71,1
1,1,6,11,29,68,1
1,1,6,12,30,65,1
1,1,6,13,31,62,1
1,1,6,14,32,59,1
1,1,6,15,33,56,1
1,1,6,16,34,53,1
1,1,6,17,35,50,1
1,1,6,18,36,47,1
1,1,6,19,37,44,1
1,1,6,20,38,41,1
1,1,6,21,39,38,1
1,1,6,22,40,35,1
1,1,6,23,41,32,1
1,1,6,24,42,29,1
1,1,6,25,43,26,1
1,1,6,26,44,23,1
1,1,6,27,45,20,1
1,1,6,28,46,17,1
1,1,6,29,25,80,1
1,1,6,30,26,77,1
1,1,6,31,27,74,1
1,1,6,32,28,71,1
1,1,6,33,29,68,1
1,1,6,34,30,65,1
1,1,6,35,31,62,1
1,1,6,36,32,59,1
1,1,6,37,33,56,1
1,1,6,38,34,53,1
1,1,6,39,35,50,1
1,1,6,40,36,47,1
1,1,6,41,37,44,1
1,1,6,42,38,41,1
1,1,6,43,39,38,1
1,1,6,44,40,35,1
1,1,6,45,41,32,1
1,1,6,46,42,29,1
1,1,6,47,43,26,1
1,1,6,48,44,23,1
1,1,6,49,45,20,1
1,1,6,50,46,17,1
1,1,6,51,25,80,1
1,1,6,52,26,77,1
1,1,6,53,27,74,1
1,1,6,54,28,71,1
1,1,6,55,29,68,1
1,1,6,56,30,65,1
1,1,6,57,31,62,1
1,1,6,58,32,59,1
1,1,6,59,33,56,1
